PoinType=9@90
X -2.217661$Y -37.500660$Z 46.519267$A -64.155732$B -89.186078$C 49.137505$U -25.763153$V 0.000000$W 0.000000$
X -1.202731$Y -35.350670$Z 42.710451$A -65.736501$B -86.645201$C 51.042216$U -25.133572$V 0.000000$W 0.000000$
X 4.528569$Y -34.935189$Z 34.012367$A -63.254397$B -81.048496$C 53.340374$U -26.782239$V 0.000000$W 0.000000$
X 15.430736$Y -33.996646$Z 15.923930$A -60.640345$B -68.264972$C 58.125783$U -30.676143$V 0.000000$W 0.000000$
X 34.911256$Y -36.003623$Z -18.285501$A -57.866595$B -36.684847$C 65.359404$U -44.952110$V 0.000000$W 0.000000$
X 51.773273$Y -47.039575$Z -58.147325$A -54.898520$B 22.165290$C 65.927111$U -78.512332$V 0.000000$W 0.000000$
X 55.144381$Y -60.564993$Z -85.543444$A -51.691108$B 62.733881$C 56.710397$U -94.733384$V 0.000000$W 0.000000$
X 51.817916$Y -72.293653$Z -108.212514$A -48.184402$B 88.532999$C 46.153361$U -96.106869$V 0.000000$W 0.000000$
X 45.182484$Y -80.479490$Z -129.175324$A -44.285915$B 108.545479$C 37.541537$U -91.557000$V 0.000000$W 0.000000$
X 38.697433$Y -83.725915$Z -145.141474$A -39.853311$B 122.325585$C 33.048848$U -85.701841$V 0.000000$W 0.000000$
X 33.907609$Y -83.640842$Z -156.047168$A -34.630299$B 131.117864$C 31.798325$U -80.483690$V 0.000000$W 0.000000$
X 30.389375$Y -81.564742$Z -164.220574$A -28.037246$B 137.277079$C 32.559671$U -75.695693$V 0.000000$W 0.000000$
X 27.644753$Y -77.008173$Z -171.447204$A -17.844216$B 142.047673$C 35.535887$U -70.324816$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -23.652519$B 0.606654$C 37.846145$U -79.782880$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -31.641364$B 0.606654$C 37.676240$U -79.472365$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -37.330458$B 0.606654$C 37.499081$U -79.072371$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -41.851556$B 0.606654$C 37.315461$U -78.594717$V 0.000000$W 0.000000$
X 27.644753$Y 0.000000$Z -171.447204$A -45.610582$B 0.606654$C 37.126158$U -78.050939$V 0.000000$W 0.000000$
